x,y,label
6.41676,-7.68230,0.00000
5.44060,-7.01098,0.00000
-7.11759,-5.00614,1.00000
8.06808,-2.23602,2.00000
-4.30150,-2.28128,1.00000
-3.89128,-4.15014,1.00000
7.30564,-9.27065,0.00000
10.43501,0.20047,2.00000
-4.27690,-5.14779,1.00000
-6.13140,-2.52265,1.00000
-3.33948,-3.73342,1.00000
7.04262,-3.06854,2.00000
-3.25107,-4.33178,1.00000
9.94697,-0.64569,2.00000
-5.77799,-4.62876,1.00000
-4.91644,-2.97203,1.00000
7.52335,-13.64344,0.00000
-6.19848,-4.41727,1.00000
7.25917,-1.77067,2.00000
7.26060,-0.71651,2.00000
-4.53746,-1.04135,1.00000
9.67124,-1.88456,2.00000
7.62124,-1.87055,2.00000
8.39916,-10.54674,0.00000
11.87930,0.52720,2.00000
4.78116,-10.30270,0.00000
6.81362,-9.12836,0.00000
10.50082,-0.06300,2.00000
-4.18685,-2.28227,1.00000
8.79952,1.33427,2.00000
7.91325,-10.04847,0.00000
5.77876,-1.35552,2.00000
-3.17311,-3.77751,1.00000
4.80607,-7.40248,0.00000
8.76509,-10.83274,0.00000
7.25951,-9.96937,0.00000
3.70328,-9.09259,0.00000
7.10638,-1.38200,2.00000
-6.43320,-2.66889,1.00000
-5.94782,-0.93941,1.00000
-6.83996,-1.76015,1.00000
9.13225,-2.67882,2.00000
7.59318,-5.15056,2.00000
6.83365,-9.40935,0.00000
-6.81354,-4.41247,1.00000
8.66342,-1.80729,2.00000
-5.30725,-3.49474,1.00000
8.78798,-11.33698,0.00000
7.92318,-10.12255,0.00000
-7.03336,-2.00478,1.00000
-6.58441,-4.46459,1.00000
7.91910,-3.64026,2.00000
9.55613,0.67560,2.00000
7.51756,-0.50750,2.00000
-4.83692,-2.45128,1.00000
6.30332,-10.58042,0.00000
6.23382,-1.20927,2.00000
12.77442,-1.12772,2.00000
-3.33448,-3.20113,1.00000
7.19421,-8.25152,0.00000
7.11242,-7.70525,0.00000
6.18732,-0.04937,2.00000
10.81074,-1.04890,2.00000
7.82202,-10.57568,0.00000
-3.63973,-4.03259,1.00000
4.63507,-0.16193,2.00000
8.69363,-1.32773,2.00000
-3.89719,-2.49981,1.00000
-4.48542,-4.01675,1.00000
6.20839,-9.02749,0.00000
9.24385,-1.79964,2.00000
5.83641,-4.10537,2.00000
-4.45695,-3.73415,1.00000
6.68882,0.42719,2.00000
8.58921,-3.76728,2.00000
5.83516,-10.19057,0.00000
4.72686,-0.12884,2.00000
-5.42514,-5.71596,1.00000
6.14672,0.66329,2.00000
7.66399,-10.20441,0.00000
6.41687,-2.61889,2.00000
5.97448,-9.06643,0.00000
-6.09497,-4.18045,1.00000
-7.27482,-5.53094,1.00000
8.77579,-1.59062,2.00000
-2.35221,-3.88962,1.00000
6.41223,-8.89924,0.00000
-5.24134,-4.31203,1.00000
3.91216,-7.91605,0.00000
6.50133,-12.37454,0.00000
-6.97273,-2.84970,1.00000
7.39762,-8.79817,0.00000
6.54946,-9.11041,0.00000
5.10853,-11.04438,0.00000
-2.82453,-6.03061,1.00000
-5.82578,-3.62822,1.00000
-5.11353,-2.50215,1.00000
7.91567,-11.03307,0.00000
7.65100,-1.17160,2.00000
7.91171,-10.77169,0.00000
